tip_win_team,tip_to_player,first_shot_player,first_shot_team,first_shot_made,first_basket_player,first_basket_team,game_id
,Wade,D. Hunter,CLE,0,E. Mobley,CLE,0022500310
,McCollum,G. Antetokounmpo,MIL,1,G. Antetokounmpo,MIL,0022500311
,Ball,K. Knueppel,CHA,1,K. Knueppel,CHA,0022500312
,Harden,J. Collins,LAC,0,B. Adebayo,MIA,0022500313
,Suggs,W. Carter Jr.,ORL,1,W. Carter Jr.,ORL,0022500314
,Flagg,A. Davis,DAL,0,J. Murray,DEN,0022500315
,George,A. Bailey,UTA,0,J. Nurkić,UTA,0022500316
,Gillespie,L. Dončić,LAL,1,L. Dončić,LAL,0022500317
,Edgecombe,P. George,PHI,0,D. Barlow,PHI,0022500318
,Ingram,I. Quickley,TOR,1,I. Quickley,TOR,0022500319
,Pritchard,P. Pritchard,BOS,0,J. Hart,NYK,0022500320
,Edwards,R. Gobert,MIN,1,R. Gobert,MIN,0022500321
,Barnes,J. Wells,MEM,0,J. Wells,MEM,0022500322
,Jal. Williams,J. Williams,OKC,1,J. Williams,OKC,0022500323
,Avdija,J. Grant,POR,0,D. Mitchell,CLE,0022500324
,Nembhard,A. Nembhard,IND,0,A. Nembhard,IND,0022500325
,Fox,D. Vassell,SAS,0,D. Vassell,SAS,0022500326
,Harden,K. Leonard,LAC,0,N. Alexander-Walker,ATL,0022500327
,Brunson,J. Brunson,NYK,0,K. Towns,NYK,0022500328
,Buzelis,J. Phillips,CHI,0,M. Porter Jr.,BKN,0022500329
,Smith Jr.,A. Thompson,HOU,1,A. Thompson,HOU,0022500330
MIL,G. Antetokounmpo,R. Rollins,MIL,0,T. Harris,DET,0022500331
,Herro,B. Adebayo,MIA,1,B. Adebayo,MIA,0022500332
,Edgecombe,J. Embiid,PHI,1,J. Embiid,PHI,0022500333
,Pritchard,N. Queta,BOS,1,N. Queta,BOS,0022500334
,Demin,E. Dëmin,BKN,0,L. Markkanen,UTA,0022500335
,Vincent,A. Reaves,LAL,1,A. Reaves,LAL,0022500336
,DiVincenzo,D. DiVincenzo,MIN,1,D. DiVincenzo,MIN,0022500337
,LaRavia,A. Reaves,LAL,0,J. Walsh,BOS,0022500338
,Wagner,J. Suggs,ORL,1,J. Suggs,ORL,0022500339
,,C. Johnson,DEN,0,D. Daniels,ATL,0022500340
,Fox,B. Biyombo,SAS,1,B. Biyombo,SAS,0022500341
,Robinson,S. Cissoko,POR,0,J. Grant,POR,0022500342
,George,J. Brunson,NYK,0,K. Towns,NYK,0022500343
,Barnes,S. Barnes,TOR,1,S. Barnes,TOR,0022500344
,White,P. Siakam,IND,0,C. White,CHI,0022500345
,Allen,D. Brooks,PHX,1,D. Brooks,PHX,0022500346
,Williams Jr.,J. Wells,MEM,1,J. Wells,MEM,0022500347
,Maxey,T. Maxey,PHI,1,T. Maxey,PHI,0022500348
,Nembhard,R. Nembhard,DAL,1,R. Nembhard,DAL,0022500349
,Mann,N. Claxton,BKN,1,N. Claxton,BKN,0022500350
,George,C. McCollum,WAS,1,C. McCollum,WAS,0022500351
,Hunter,E. Mobley,CLE,1,E. Mobley,CLE,0022500352
,Stewart,I. Stewart,DET,0,C. Cunningham,DET,0022500353
,Smith,K. Ware,MIA,0,A. Wiggins,MIA,0022500354
,Randle,A. Edwards,MIN,1,A. Edwards,MIN,0022500355
,Flagg,A. Davis,DAL,0,C. Capela,HOU,0022500356
,Hart,M. Bridges,NYK,1,M. Bridges,NYK,0022500357
,Ingram,J. Brown,BOS,0,D. White,BOS,0022500358
,Simpson,B. Miller,CHA,0,J. Murray,DEN,0022500359
,Williams Jr.,J. Wells,MEM,0,C. Coward,MEM,0022500360
,Buzelis,A. Dosunmu,CHI,0,B. Hield,GSW,0022500361
,Doncic,L. Dončić,LAL,1,L. Dončić,LAL,0022500362
,Jay. Williams,C. Wallace,OKC,0,J. Williams,OKC,0022500363
,Siakam,B. Mathurin,IND,0,R. Westbrook,SAC,0022500364
,Gillespie,G. Allen,PHX,1,G. Allen,PHX,0022500365
,Fox,H. Jones,NOP,1,H. Jones,NOP,0022500366
,Garland,D. Mitchell,CLE,0,J. Allen,CLE,0022500367
,Aldama,B. Clarke,MEM,0,S. Aldama,MEM,0022500368
,Wallace,C. Wallace,OKC,0,J. Collins,LAC,0022500369
,Castle,S. Castle,SAS,1,S. Castle,SAS,0022500370
,Johnson,B. Miller,CHA,1,B. Miller,CHA,0022500371
,Siakam,M. Diawara,NYK,1,M. Diawara,NYK,0022500372
,Mann,M. Porter Jr.,BKN,0,B. Adebayo,MIA,0022500373
,Quickley,O. Agbaji,TOR,1,O. Agbaji,TOR,0022500374
,Fears,T. Murphy III,NOP,1,T. Murphy III,NOP,0022500375
,Cunningham,J. Duren,DET,0,N. Marshall,DAL,0022500376
,,J. Murray,DEN,0,W. Carter Jr.,ORL,0022500377
,Brooks,D. Booker,PHX,0,Q. Post,GSW,0022500378
,George,K. George,UTA,0,K. Filipowski,UTA,0022500379
,Avdija,J. Grant,POR,0,D. Clingan,POR,0022500380
,Jaquez Jr.,N. Powell,MIA,0,K. Ware,MIA,0022500381
,George,P. George,PHI,0,J. Brunson,NYK,0022500382
,Castle,D. Fox,SAS,1,D. Fox,SAS,0022500383
,,N. Vučević,CHI,0,T. Proctor,CLE,0022500384
,Edwards,D. DiVincenzo,MIN,0,A. Edwards,MIN,0022500385
,Johnson,C. Johnson,DEN,0,A. Sengun,HOU,0022500386
,Maxey,V. Edgecombe,PHI,0,T. Maxey,PHI,0022500387
